model,n,rmse,mae,bias
arimax_vix,258,0.6001046440033257,0.47029448502396987,0.06971534967163666
arimax,258,0.6014911966559829,0.47277745751764993,0.06576634644238336
ar1,258,0.6032728575758689,0.4728250552554174,0.07161522823481861
